NAME,TEXT,A_pos,A_img,A_Face,A_Size,B_pos,B_img,B_Face,B_Size,C_pos,C_img,C_Face,C_Size,BGNumber,BGEffect,BGEtc,OtherEvent,etc,BGM,EffectSound,voice
,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,1,,,,,,,
현수,엄창나게 긴 문장을 만들기위해서 이것저것 적어놓고 있습니다. 충분히 길지가 않았던 것 같네요.,,,,,,,,,,,,,,,,,,,,
현수,이 배달만 빨리 끝내고 이번 분기 신작 조져야지,,,,,,,,,,,,,,,,,,,,
,금요일 밤 11시...,,,,,,,,,,,,,,,,,,,,
,쏟아지는 비에 빗방울도 더 굵어지지만,,,,,,,,,,,,,,,,,,,,
,나 사나이 김현수의 신작을 향한 의지는 꺾지 못하지,,,,,,,,,,,,,,,,,,,,
,단지@ 내가 지금 잠시 멈춘 이유는 신호를 받았기 때문이다.,,,,,,,,,,,,,,,,,,,,
,급해도 교통 법규를 준수하십시오.,,,,,,,,,,,,,,,,,,,,
,잠깐 주변을 둘러보니...,,,,,,,,,,,,,,,,,,,,
,저기 횡단보도 앞에서 우산을 쓴 채 꽁냥거리는 커플들,,,,,,,,,,,,,,,,,,,,
현수,아니 왜 우산이 두 갠데 하나만 쓰고 있는 거야?,,,,,,,,,,,,,,,,,,,,
,분명 여자의 손에 접혀있는 우산이 들려있다.,,,,,,,,,,,,,,,,,,,,
,그런데 굳이 작은 우산 하나만 써서 어깨를 다 적시는 저 커플.,,,,,,,,,,,,,,,,,,,,
,불-편,,,,,,,,,,,,,,,,,,,,
,투덜거리는 사이 신호는 녹색으로 바뀌었다.,,,,,,,,,,,,,,,,,,,,
현수,저 커플 뭐야@ 녹색불인데 왜 안 건너?,,,,,,,,,,,,,,,,,,,,
,우산 아래 입술을 맞대고 키스를 하는 두 사람.,,,,,,,,,,,,,,,,,,,,
현수,... 공공장소에서 저러고 싶나. 교양 없게.,,,,,,,,,,,,,,,,,,,,
현수,...,,,,,,,,,,,,,,,,,,,,
현수,... 나도 교양 없고 싶다...,,,,,,,,,,,,,,,,,,,,
,여자의 입술은 무슨 느낌일까@,,,,,,,,,,,,,,,,,,,,
,예전에 ‘혼자 키스하는 법.jpg’를 본 적이 있다.,,,,,,,,,,,,,,,,,,,,
현수,그... 입술을 입안으로 넣고 연인과 키스하는 것처럼,,,,,,,,,,,,,,,,,,,,
현수,그 혓바닥을 막! 그러는 거였었지@ 아마.,,,,,,,,,,,,,,,,,,,,
,뭐@ 특별한 느낌은 아니었던 거 보면 환상을 가질 만한 일은 아닌 것 같다.,,,,,,,,,,,,,,,,,,,,
,내 인생이 현실 여자랑 접점이 있던 인생도 아니고...,,,,,,,,,,,,,,,,,,,,
,아 아니다.,,,,,,,,,,,,,,,,,,,,
,없던 건 아니지.,,,,,,,,,,,,,,,,,,,,
